FileName,Split
0X100009310A3BD7FC,VAL
0X1002E8FBACD08477,TRAIN
0X1005D03EED19C65B,TRAIN
0X10075961BC11C88E,TRAIN
0X10094BA0A028EAC3,VAL
0X100CF05D141FF143,TEST
0X100E3B8D3280BEC5,TRAIN
0X100E491B3CD58DE2,TRAIN
0X100F044876B98F90,TRAIN
0X101026B90DAE7E95,TRAIN
0X1012703CDC1436FE,TEST
0X1013E8A4864781B,VAL
0X1018521A3BC5CDBA,TRAIN
0X101C388397F66EDB,TRAIN
0X101CFC9C5351DCBE,TRAIN
0X101E654AF3FC07A8,TRAIN
0X10267ADF2E644E0,TRAIN
0X102AE9C68B2C46DA,TRAIN
0X102C51641C321436,TRAIN
0X102CFB07F752AAE6,TEST
0X102DD1B9BE03716,TRAIN
0X102E453603FA1440,TRAIN
0X102E94908346DE1D,TRAIN
0X102F3D4CD5E10801,TRAIN
0X10365E52F01510B4,TRAIN
0X1039108E17193B1C,TRAIN
0X1039B49145DF4F25,VAL
0X103A55B2546EF36E,TRAIN
0X103BE163257D663A,TRAIN
0X1040C376CF369A01,TRAIN
0X1040D64234D3E916,TRAIN
0X1043D3D352972862,TRAIN
0X1045F1B5A0A5EA54,TRAIN
0X104D2C3D60AE3DE8,TRAIN
0X105039B849CDB1CD,VAL
0X10516E63208D8EA1,TRAIN
0X1055D6B76E5D7556,TRAIN
0X10569E00E4DFFF7D,TRAIN
0X1059077339EF0869,TRAIN
0X105B9EF57DE45DCB,TEST
0X105CDF495F9A9A43,TRAIN
0X105D400DBDB7A1FA,TRAIN
0X105E0E36E611D657,TRAIN
0X10623D3AF96AC271,TRAIN
0X1062E316DF137FDB,TRAIN
0X10648BFB1458861,TRAIN
0X106766224781FAE2,TRAIN
0X106A8FDB8A83534B,TRAIN
0X106B384BEED608E3,TRAIN
0X106E73F4961CC47B,TRAIN
0X106EA7D9DEC59EA9,TRAIN
0X106FE6CF624D4C8C,TRAIN
0X1070ABA581A9A255,TRAIN
0X107458C8895A9AC9,TRAIN
0X1082BF2A3762D881,TRAIN
0X1088B755BC61AF23,TRAIN
0X108B163EEADDDABC,TRAIN
0X108B4B26B48E417B,TRAIN
0X1093398DC18FB3B3,TRAIN
0X1096572D64654BBD,TRAIN
0X1098A9CCA66A5DD0,TRAIN
0X109D27B0A540F9F6,TRAIN
0X10A28877E97DF540,TEST
0X10A5FC19152B50A5,TRAIN
0X10A8ADB48536C3D5,TRAIN
0X10A9B17E26220232,TRAIN
0X10ABB3401FC5EC2D,VAL
0X10AD385C206C85C,VAL
0X10B04432B90E5AC2,TRAIN
0X10B063E16BA7BEE3,VAL
0X10B13E581B12A53C,TRAIN
0X10B7505562B0A702,TEST
0X10BC6AA53115AA06,TRAIN
0X10BD75A3203C3BB9,TRAIN
0X10BDFD27E27D56A9,TRAIN
